"","V1"
"abandoned",6.96271683705611
"ability",4.61134157989263
"advance",5.70995386856074
"alice",5.17095736782806
"allow",3.94229195091175
"also",1.4313055883407
"analogy",4.43698819274786
"appear",5.35327892462201
"around",1.94543700024119
"begins",5.25796874481769
"bob",5.45863944027984
"box",4.32365950744085
"called",2.08751951385496
"ciphers",6.96271683705611
"code",3.94229195091175
"combination",3.63051232688091
"communicate",5.09091466015452
"communication",6.96271683705611
"cryptography",6.26956965649617
"decided",4.43698819274786
"decides",5.35327892462201
"decryption",7.65586401761606
"distance",3.03089120433179
"eavesdropper",7.65586401761606
"encryption",6.04642610518196
"eve",5.864104548388
"fascinating",3.805716415906
"first",1.35507822295281
"following",4.56482156425774
"heart",5.0168066880008
"helpful",4.32365950744085
"however",4.61134157989263
"ideas",3.63051232688091
"imagine",2.34759632021485
"important",2.74320913188
"information",3.02113502938642
"instead",2.39317382871117
"intercept",6.26956965649617
"intercepted",7.65586401761606
"kind",1.23913173510373
"know",0.844619639014763
"known",3.78466300670817
"letters",4.1295034929999
"lock",5.864104548388
"locked",6.55725172894795
"locks",6.26956965649617
"meaningless",6.96271683705611
"message",4.61134157989263
"messages",5.57642247593622
"named",4.28856818762958
"network",4.82265067355984
"number",1.57136460454089
"old",3.54499015344275
"opens",5.864104548388
"people",1.84173348579099
"physical",4.39776747959457
"private",4.88327529537628
"probability",3.36540457646767
"receives",6.96271683705611
"related",3.8716743836978
"requires",5.09091466015452
"scramble",7.65586401761606
"secret",5.25796874481769
"sent",4.52036980168691
"share",4.22187681313091
"shared",5.09091466015452
"split",4.76549225971989
"story",4.22187681313091
"theory",4.36002715161173
"think",1.04921383141784
"thousands",3.94229195091175
"today",3.46620927558963
"two",1.04382298278296
"understand",2.66543143083732
"use",1.68971727849236
"using",2.23091400013465
"virtual",4.61134157989263
"wants",3.54499015344275
"wars",5.17095736782806
"worldwide",6.04642610518196
"written",3.22504721877274
"years",2.7655148893943
"800",5.70995386856074
"agree",4.66013174406207
"analysis",5.09091466015452
"apply",2.86007347201932
"arab",6.96271683705611
"based",2.82755028031376
"basic",3.29915519092647
"becomes",2.8518429728828
"blow",4.94781381651385
"book",3.72403838489173
"break",3.21321276112574
"breaker",6.55725172894795
"breaking",4.88327529537628
"broke",5.864104548388
"caesar",5.45863944027984
"can",0.749109238967503
"check",3.61281274978151
"cipher",6.55725172894795
"clue",4.94781381651385
"codebreaker",6.96271683705611
"cold",5.09091466015452
"commands",6.96271683705611
"conquered",6.04642610518196
"consistent",4.82265067355984
"correct",3.8716743836978
"count",4.01827785788967
"encrypt",6.96271683705611
"encrypted",6.55725172894795
"enemy",6.55725172894795
"english",4.52036980168691
"example",1.99638180185644
"extract",6.96271683705611
"failing",6.96271683705611
"fairly",3.22504721877274
"far",2.72139008448536
"find",2.35754665106802
"fingerprint",6.26956965649617
"flaws",7.65586401761606
"fought",5.864104548388
"frequencies",5.57642247593622
"frequency",4.28856818762958
"havent",2.94633381630372
"hundreds",4.28856818762958
"incredibly",4.36002715161173
"indomitable",7.65586401761606
"julius",5.70995386856074
"kindi",7.65586401761606
"language",4.2546666359539
"later",3.17852720313785
"leaders",5.70995386856074
"leave",3.28641616514904
"letter",3.89466390192249
"likely",3.39318414057474
"look",1.45130625504737
"make",1.31022765678746
"mathematician",6.04642610518196
"may",3.36540457646767
"mechanical",4.88327529537628
"men",4.76549225971989
"military",4.94781381651385
"narrow",5.70995386856074
"need",2.2622364712637
"now",0.667450835616465
"one",0.73223538947763
"openly",6.55725172894795
"order",2.52006558056579
"original",3.17852720313785
"pattern",3.805716415906
"point",1.41558817244529
"popular",4.71142503844962
"process",3.03089120433179
"property",3.99230237148641
"published",6.55725172894795
"read",3.46620927558963
"realizing",5.70995386856074
"referred",4.36002715161173
"reveal",6.96271683705611
"reverse",4.82265067355984
"say",0.767291558050694
"scan",6.96271683705611
"security",5.17095736782806
"shift",4.28856818762958
"shifted",5.09091466015452
"ship",6.55725172894795
"similar",3.21321276112574
"simply",5.45863944027984
"speed",3.805716415906
"strong",3.68557210406393
"substitution",5.45863944027984
"subtracts",7.65586401761606
"text",4.32365950744085
"thought",2.94633381630372
"three",1.68715645763069
"tools",4.47781018726811
"unreadable",7.65586401761606
"used",2.40883994545557
"valuable",4.61134157989263
"weakest",6.55725172894795
"weakness",6.55725172894795
"wellknown",6.04642610518196
"will",1.24568913564989
"without",3.15605434728579
"won",5.864104548388
"according",5.25796874481769
"blind",6.96271683705611
"clock",5.17095736782806
"coin",4.56482156425774
"consider",3.82722262112696
"determine",4.47781018726811
"flip",4.39776747959457
"flips",5.35327892462201
"guess",2.20482556405036
"heads",4.32365950744085
"inside",3.03089120433179
"lands",6.04642610518196
"light",3.74384101218791
"lightbulb",7.65586401761606
"man",4.39776747959457
"randomness",6.04642610518196
"room",3.4217575130188
"rooms",6.04642610518196
"simulate",6.96271683705611
"start",1.73160822020152
"switch",3.48147674772042
"switches",5.864104548388
"tails",4.66013174406207
"tries",5.25796874481769
"unison",6.55725172894795
"woman",5.57642247593622
"switched",5.70995386856074
"answer",2.6452287235198
"trick",4.66013174406207
"yes",3.45117139822509
"certain",2.98303518315415
"close",2.96451613538691
"come",2.52006558056579
"consecutive",6.96271683705611
