"","x"
"just",6226
"let",6165
"going",6059
"right",5083
"know",4895
"one",4535
"can",4433
"now",3503
"say",3438
"like",3392
"times",3116
"get",3010
"equal",2618
"well",2575
"actually",2566
"two",2520
"think",2399
"see",2196
"way",2066
"want",1946
"kind",1944
"point",1906
"plus",1894
"really",1861
"will",1692
"little",1652
"minus",1645
"thing",1636
"number",1531
"things",1525
"don",1507
"time",1445
"people",1407
"something",1349
"take",1345
"first",1333
"might",1326
"even",1284
"look",1231
"three",1231
"make",1198
"maybe",1127
"bit",1120
"negative",1093
"different",1091
"also",1041
"mean",1034
"write",1025
"five",971
"video",951
"lot",944
"another",937
"vector",901
"second",842
"energy",835
"much",832
"zero",832
"start",828
"squared",814
"function",810
"draw",807
"put",802
"change",797
"work",773
"call",736
"direction",731
"got",720
"many",716
"force",714
"use",691
"around",677
"four",659
"give",652
"water",652
"videos",641
"back",633
"good",628
"carbon",625
"numbers",622
"side",613
"per",604
"next",591
"hydrogen",575
"able",574
"said",569
"system",560
"keep",554
"left",550
"yeah",550
"part",546
"essentially",544
"less",536
"talk",525
"value",525
"whole",520
"every",514
"figure",511
"six",511
"looks",501
"getting",498
"positive",494
"mass",490
"interesting",487
"term",479
"velocity",476
"example",468
"molecules",458
"okay",453
"meters",447
"cell",445
"still",443
"constant",442
"try",440
"question",439
"add",436
"power",436
"heat",436
"pretty",435
"means",432
"set",431
"cells",431
"always",423
"done",423
"case",423
"years",421
"called",420
"ten",418
"distance",417
"already",416
"saying",406
"new",402
"probably",402
"probability",401
"line",400
"need",394
"talking",394
"guy",392
"real",389
"hundred",388
"idea",387
"doesn",385
"square",384
"state",381
"end",379
"sense",379
"multiply",378
"last",377
"started",375
"derivative",373
"form",373
"show",371
"pressure",371
"goes",370
"using",368
"area",368
"everything",368
"exactly",367
"khan",365
"world",363
"seven",362
"gets",360
"color",358
"view",351
"ways",351
"temperature",351
"remember",350
"sine",350
"find",349
"happens",348
"least",345
"imagine",344
"prime",341
"whatever",339
"better",338
"terms",338
"base",337
"made",336
"standard",336
"angle",334
"100",333
"variable",333
"population",332
"type",330
"moving",328
"didn",328
"someone",323
"away",323
"used",322
"guess",320
"vectors",320
"million",317
"tell",316
"given",313
"happen",313
"hopefully",312
"average",312
"equals",312
"students",311
"divided",310
"equation",310
"earth",309
"order",305
"curve",305
"come",304
"eight",303
"charge",302
"level",301
"nine",300
"wanted",299
"product",299
"field",299
"move",295
"makes",295
"gonna",292
"place",292
"sides",291
"factorial",289
"else",288
"distribution",287
"long",287
"dollars",287
"sample",286
"day",285
"either",285
"year",285
"hey",282
"big",278
"bunch",277
"group",277
"thousand",277
"solution",277
"isn",276
"learn",275
"problem",275
"high",274
"actual",274
"respect",274
"says",271
"sometimes",270
"math",269
"half",269
"money",269
"degrees",269
"looking",268
"sal",268
"sure",268
"axis",267
"instead",266
"especially",265
"000",265
"percent",264
"clear",263
"third",263
"input",260
"school",257
"academy",256
"electrons",256
"enough",253
"points",252
"natural",252
"person",251
"taking",250
"space",249
"general",248
"answer",246
"molecule",246
"anything",245
"making",244
"amount",243
"root",242
"life",242
"hand",242
"electron",242
"couple",241
"definition",241
"obviously",240
"matrix",240
"circle",239
"stuff",239
"data",239
"ones",237
"divide",237
"membrane",237
"kinetic",236
"true",235
"reaction",235
"exact",234
"define",234
"oxygen",234
"acid",232
"word",231
"trying",231
"dna",231
"happening",229
"situation",229
"education",229
"reason",228
"thinking",228
"small",228
"top",227
"unit",226
"inside",225
"partial",225
"surface",224
"magnitude",223
"higher",223
"row",223
"light",222
"literally",222
"states",222
"far",221
"equilibrium",221
"sub",221
"bond",220
"understand",218
"together",218
"transformation",218
"kids",217
"sum",217
"important",216
"potential",216
"basis",215
"assume",214
"defined",214
"free",214
"volume",211
"process",210
"length",210
"interest",210
"thought",209
"won",207
"fibonacci",206
"degree",205
"course",204
"whether",204
"list",203
"guys",203
"almost",203
"random",202
"string",202
"tells",202
"common",202
"teacher",202
"slope",202
"hard",201
"total",201
"went",200
"gives",200
"class",200
"great",199
"transaction",199
"saw",199
"gas",199
"apply",198
"element",198
"talked",197
"graph",194
"took",194
"output",194
"profit",194
"based",192
"definitely",192
"produce",192
"since",191
"computer",191
"object",191
"particles",190
"lower",190
"cosine",190
"becomes",189
"learning",189
"log",189
"run",188
"certain",186
"working",186
"blue",186
"step",186
"fact",186
"anyway",186
"solve",185
"weight",185
"help",183
"dealing",183
"center",182
"information",181
"feel",181
"particular",181
"completely",180
"never",180
"air",180
"best",179
"entire",178
"bitcoin",178
"starting",178
"seconds",177
"outside",177
"though",177
"teachers",177
"multiple",176
"room",175
"chain",174
"values",173
"cost",173
"concentration",173
"within",172
"newton",172
"future",171
"period",171
"straight",170
"fast",169
"comes",169
"linear",168
"close",167
"possible",167
"program",167
"rate",167
"theta",167
"useful",165
"position",164
"simple",163
"quantity",163
"problems",163
"ratio",163
"become",162
"fourth",162
"ago",162
"heads",161
"component",161
"along",160
"units",160
"algebra",160
"break",159
"pick",159
"student",159
"price",158
"plane",158
"loop",157
"rest",156
"matter",155
"model",154
"law",154
"nice",153
"sequence",151
"likely",149
"wave",149
"starts",149
"expression",148
"country",148
"liquid",148
"opposite",147
"range",146
"coming",145
"deviation",145
"salman",145
"atomic",144
"demand",143
"chemistry",143
"block",142
"youtube",142
"current",141
"differential",141
"larger",141
"inverse",141
"yes",140
"eventually",140
"large",140
"although",140
"science",139
"represent",139
"pay",139
"basic",138
"haven",138
"similar",138
"ask",138
"difference",138
"seen",138
"somehow",138
"atom",138
"magnetic",138
"greater",137
"cycle",137
"factor",136
"easy",136
"divisible",136
"table",136
"hour",136
"original",135
"rewrite",135
"clearly",135
"often",134
"measure",134
"protons",134
"everyone",133
"must",133
"sitting",133
"normal",133
"classroom",133
"mind",132
"column",132
"without",131
"assuming",131
"human",131
"nothing",131
"head",131
"cross",131
"net",131
"found",130
"takes",130
"works",130
"chlorine",130
"bonds",130
"today",129
"written",129
"sodium",129
"entropy",129
"realize",128
"wasn",128
"proteins",128
"triangle",127
"smaller",126
"wouldn",126
"phosphate",126
"complex",125
"bill",125
"limit",125
"gravity",125
"old",124
"later",124
"return",124
"momentum",124
"non",123
"intuition",123
"government",123
"mole",123
"added",122
"huge",122
"low",122
"seems",121
"green",121
"increase",121
"proof",121
"formula",121
"economic",121
"variance",120
"speed",119
"key",119
"notice",119
"dot",119
"cancel",119
"north",119
"may",118
"previous",118
"learned",118
"physics",117
"super",117
"aren",117
"equations",117
"wall",117
"fun",116
"quite",116
"moment",116
"care",116
"subtract",116
"moles",116
"possibilities",115
"capital",115
"middle",115
"rates",115
"fairly",114
"building",114
"giving",114
"calculate",114
"functions",114
"roughly",114
"acceleration",114
"calculus",114
"relative",113
"atoms",113
"market",113
"newtons",113
"strong",112
"cool",112
"initial",112
"elements",112
"index",112
"investment",112
"grams",112
"ever",111
"build",110
"writing",110
"told",110
"happened",110
"rna",110
"atp",110
"frequency",109
"changing",109
"factors",109
"technology",109
"body",109
"college",109
"examples",108
"sudden",108
"structure",108
"universe",108
"open",108
"height",108
"drawing",107
"turn",107
"multiplying",107
"types",107
"sign",107
"bitcoins",107
"protein",107
"500",107
"wants",106
"leave",106
"questions",106
"name",106
"specific",105
"notation",105
"play",104
"sorry",104
"size",104
"concept",104
"domain",104
"sort",103
"wrote",103
"source",103
"path",103
"car",103
"coordinate",102
"dimensional",102
"forward",101
"test",101
"debt",101
"solid",101
"absolute",101
"rock",101
"alice",100
"closer",100
"create",100
"argument",100
"easier",100
"multiplication",100
"magenta",100
"yet",100
"span",100
"living",99
"job",99
"turns",99
"watch",99
"combination",98
"longer",98
"month",98
"seeing",98
"nucleus",98
"home",98
"vertical",98
"house",98
"adding",97
"software",97
"drawn",97
"rule",97
"scale",97
"copy",96
"theorem",96
"gave",96
"rid",96
"experiment",96
"electric",96
"cousin",96
"early",95
"twenty",95
"tens",95
"double",95
"billion",95
"history",95
"groups",94
"prove",94
"throw",94
"read",93
"user",93
"south",93
"teach",93
"teaching",93
"neat",92
"business",92
"paste",92
"review",92
"blood",92
"determinant",92
"ideas",91
"across",91
"past",91
"print",91
"python",91
"spending",91
"bank",91
"lecture",91
"book",90
"came",90
"traditional",90
"bacteria",90
"friction",90
"encourage",89
"deal",89
"evaluate",89
"denominator",89
"kilograms",89
"study",89
"content",88
"container",88
"known",87
"flip",87
"colors",87
"gone",87
"short",87
"approaches",87
"bad",87
"delta",87
"switch",86
"version",86
"multiplied",86
"picture",86
"hope",86
"bottom",86
"proton",86
"dimensions",86
"integral",86
"letter",85
"chance",85
"wrong",85
"grade",85
"message",84
"calculator",84
"scalar",84
"basically",84
"pairs",84
"week",84
"soon",83
"subspace",83
"fifth",83
"beyond",83
"bound",83
"interval",83
"voltage",83
"war",83
"properties",82
"ready",82
"places",82
"front",82
"cut",82
"statement",82
"node",82
"several",82
"hit",82
"dioxide",82
"income",82
"gdp",82
"potassium",82
"weak",82
"code",81
"plot",81
"radius",81
"towards",81
"telling",81
"shouldn",81
"scenario",81
"replace",81
"truth",81
"internal",81
"push",81
"shows",80
"300",80
"finally",80
"mathematics",80
"context",80
"hash",80
"phi",80
"faster",80
"miles",80
"planet",80
"species",80
"behind",79
"environment",79
"single",79
"construct",79
"slightly",79
"trouble",79
"dollar",79
"lines",79
"fraction",79
"pace",79
"components",78
"core",78
