"","word","freq"
"mean","mean",635.531468046209
"write","write",634.191997694578
"video","video",612.084000672793
"another","another",610.980520268606
"draw","draw",608.962167537302
"lot","lot",607.578650510112
"put","put",605.189167738434
"change","change",605.166763096384
"five","five",604.768592360354
"vector","vector",602.908433188868
"different","different",597.374455298633
"function","function",596.155765273485
"work","work",594.270491753782
"squared","squared",587.923367412367
"zero","zero",582.226713767807
"start","start",579.427546874692
"energy","energy",576.936660181362
"bit","bit",575.426101155733
"much","much",574.863833857357
"second","second",574.387242664045
"also","also",573.977958604915
"make","make",572.089872466847
"force","force",569.609301990116
"call","call",569.338594909412
"direction","direction",568.976807466434
"negative","negative",565.594891967733
"many","many",564.219424992512
"got","got",563.884799196719
"use","use",558.068479804544
"around","around",550.12154619602
"water","water",539.611561802101
"maybe","maybe",538.184713080248
"four","four",535.494976282389
"give","give",533.058742825618
"videos","videos",530.507685759428
"three","three",527.996542815297
"back","back",527.091755139614
"numbers","numbers",524.279176623797
"look","look",523.830718196697
"carbon","carbon",523.610916407823
"good","good",522.928313155889
"side","side",516.693143521523
"even","even",516.372566846186
"per","per",515.333969693202
"next","next",507.312481292054
"able","able",495.717132328496
"hydrogen","hydrogen",493.57813323677
"essentially","essentially",493.084849117037
"yeah","yeah",492.54496522259
"system","system",492.492091085728
"less","less",491.723770500424
"whole","whole",491.612227831339
"said","said",491.399038841314
"keep","keep",490.17006378016
"part","part",488.962820020971
"figure","figure",488.943618223206
"six","six",488.943618223206
"things","things",487.747421444435
"value","value",487.465817812196
"left","left",486.630929745646
"don","don",486.577925268028
"every","every",485.939779048669
"talk","talk",484.541019161232
"looks","looks",482.262866023613
"getting","getting",482.262029037451
"positive","positive",481.268913076305
"mass","mass",480.245907332058
"interesting","interesting",477.30562626676
"take","take",475.915798935343
"first","first",471.669710022909
"number","number",471.164691954466
"time","time",470.971674376453
"term","term",469.464876759298
"velocity","velocity",469.332863426541
"might","might",469.192824823989
"plus","plus",467.051332189498
"example","example",464.222372365335
"really","really",464.178191571061
"people","people",462.895604971671
"molecules","molecules",457.037427384356
"thing","thing",455.072505726766
"okay","okay",452.047935819024
"already","already",451.548948901689
"imagine","imagine",451.283651777923
"happens","happens",450.872474837543
"least","least",449.779180688163
"try","try",449.74244685756
"cell","cell",449.426259954192
"find","find",449.364857475076
"standard","standard",449.154260476826
"constant","constant",449.083358365205
"terms","terms",448.999329352934
"meters","meters",448.745238695541
"question","question",448.720304932883
"heat","heat",448.336964549283
"ten","ten",448.291209579663
"minus","minus",448.011980403004
"100","100",447.954097838784
"variable","variable",447.954097838784
"sine","sine",447.863576486045
"base","base",447.670928970233
"still","still",447.406366651027
"prime","prime",447.348038535674
"pretty","pretty",447.308668759033
"distance","distance",447.218742571099
"means","means",446.898712535383
"gets","gets",446.650128821478
"population","population",446.608890337767
"angle","angle",446.480723212083
"seven","seven",446.378653448592
"made","made",446.342528587532
"better","better",446.194334001567
"form","form",446.074877471281
"set","set",445.864224774884
"cells","cells",445.864224774884
"add","add",445.653879158854
"power","power",445.653879158854
"area","area",445.507183712415
"everything","everything",445.507183712415
"last","last",445.394658516833
"called","called",445.051454456585
"end","end",445.040637389144
"sense","sense",445.040637389144
"world","world",444.872108005845
"whatever","whatever",444.724296374175
"state","state",444.677381574954
"khan","khan",444.589098819225
"exactly","exactly",444.29656636537
"color","color",444.168739216914
"moving","moving",444.019566544771
"didn","didn",444.019566544771
"doesn","doesn",443.923285660904
"type","type",443.918475335732
"multiply","multiply",443.86638768627
"guy","guy",443.855917479682
"something","something",443.813909812924
"show","show",443.683055071971
"pressure","pressure",443.683055071971
"idea","idea",443.532505626022
"derivative","derivative",443.362138241534
"real","real",443.132611011297
"started","started",443.031822132128
"level","level",442.92186912884
"product","product",442.867778038766
"field","field",442.867778038766
"away","away",442.82007906969
"square","square",442.770238165681
"goes","goes",442.487143872316
"remember","remember",442.351651547196
"hundred","hundred",441.993452628234
"divided","divided",441.608715408706
"equation","equation",441.608715408706
"equals","equals",441.608469023473
"charge","charge",441.503396148304
"nine","nine",441.450367902498
"used","used",441.44911907257
"temperature","temperature",440.883982113598
"years","years",440.78191569364
"talking","talking",440.759861577254
"saying","saying",440.694406860783
"case","case",440.223845235415
"students","students",440.193057263782
"earth","earth",440.184171165452
"using","using",440.095321473006
"someone","someone",440.023524803664
"wanted","wanted",439.978866676157
"line","line",439.444915467244
"probably","probably",438.988665063977
"guess","guess",438.707199078331
"vectors","vectors",438.707199078331
"view","view",438.173543934636
"ways","ways",438.173543934636
"need","need",438.106652897805
"probability","probability",437.89665345934
"always","always",437.588322690895
"done","done",437.588322690895
"move","move",436.943125489752
"makes","makes",436.943125489752
"will","will",436.46657893128
"new","new",436.352590044421
"average","average",435.986695306637
"tell","tell",435.983201959978
"come","come",435.86331310108
"gonna","gonna",435.348439162039
"place","place",435.348439162039
"happen","happen",434.601848019227
"million","million",434.594319086971
"order","order",434.485994192437
"curve","curve",434.485994192437
"eight","eight",434.429552202721
"sides","sides",433.85751984984
"factorial","factorial",433.722994897473
"hopefully","hopefully",433.213343712456
"else","else",432.222223288831
"sample","sample",432.066474695554
"given","given",431.844120928713
"axis","axis",431.494015525789
"little","little",430.874975819563
"distribution","distribution",430.721451680189
"long","long",430.721451680189
"dollars","dollars",430.721451680189
"day","day",430.555752756059
"either","either",430.555752756059
"year","year",430.555752756059
"sal","sal",430.148741882937
"sure","sure",430.148741882937
"instead","instead",429.877933070637
"hey","hey",428.857781648261
"especially","especially",428.261850615484
"000","000",428.261850615484
"clear","clear",427.968263762485
"third","third",427.968263762485
"point","point",427.416523430743
"looking","looking",427.21975098031
"percent","percent",426.645768160331
"money","money",425.90571809671
"degrees","degrees",425.90571809671
"isn","isn",425.365996566384
"actual","actual",425.123037920164
"respect","respect",425.123037920164
"bunch","bunch",424.066127167052
"group","group",424.066127167052
"thousand","thousand",424.066127167052
"solution","solution",424.066127167052
"learn","learn",423.824815419404
"problem","problem",423.824815419404
"input","input",423.086496495232
"half","half",423.028685324305
"big","big",422.774692546868
"high","high",422.283634272424
"sometimes","sometimes",421.744113148273
"school","school",421.108714928241
"says","says",420.468406118119
"math","math",420.182097914391
"academy","academy",419.470159617236
"electrons","electrons",419.470159617236
"natural","natural",415.79596972077
"enough","enough",414.554493684221
"person","person",414.145985713941
"points","points",412.915938373217
"taking","taking",412.496001707113
"molecule","molecule",411.617253772209
"space","space",410.846017700284
"electron","electron",410.686467280118
"anything","anything",409.944012903216
"general","general",409.196033693456
"couple","couple",408.989415762431
"definition","definition",408.989415762431
"answer","answer",408.740027990463
"making","making",408.270772034223
"root","root",407.788229046812
"life","life",407.788229046812
"hand","hand",407.788229046812
"obviously","obviously",407.292364244745
"matrix","matrix",407.292364244745
"amount","amount",406.59753116523
"define","define",405.724524849342
"oxygen","oxygen",405.724524849342
"circle","circle",405.595312727058
"stuff","stuff",405.595312727058
"data","data",405.595312727058
"divide","divide",405.073972137851
"membrane","membrane",405.073972137851
"true","true",404.53909814049
"reaction","reaction",404.53909814049
"kinetic","kinetic",403.364799259632
"exact","exact",402.817655169679
"acid","acid",402.256793867723
"ones","ones",402.201209691685
"word","word",400.522928376914
"trying","trying",400.522928376914
"dna","dna",400.522928376914
"situation","situation",399.935738520667
"education","education",399.935738520667
"reason","reason",398.189294247651
"thinking","thinking",398.189294247651
"small","small",398.189294247651
"unit","unit",397.575425527318
"happening","happening",397.055197395296
"surface","surface",396.947421612974
"top","top",396.442849974635
"inside","inside",395.816242228524
"partial","partial",395.816242228524
"magnitude","magnitude",395.175334909345
"higher","higher",395.175334909345
"row","row",395.175334909345
"far","far",394.520091528471
"equilibrium","equilibrium",394.520091528471
"sub","sub",394.520091528471
"light","light",393.403248205716
"literally","literally",393.403248205716
"states","states",393.403248205716
"bond","bond",392.734932743275
"together","together",392.052074604386
"transformation","transformation",392.052074604386
"important","important",391.354638972235
"potential","potential",391.354638972235
"free","free",390.642594447614
"kids","kids",390.253670592439
"sum","sum",390.253670592439
"basis","basis",389.542811939956
"understand","understand",389.164615172881
"assume","assume",387.730984907677
"defined","defined",387.730984907677
"volume","volume",385.16629639461
"process","process",383.340863710275
"length","length",383.340863710275
"interest","interest",383.340863710275
"kind","kind",382.964639232021
"thought","thought",381.51543102594
"won","won",380.719783338665
"gas","gas",380.328701712322
"fibonacci","fibonacci",378.880557332198
"apply","apply",378.417502206229
"element","element",378.417502206229
"whether","whether",378.055298682111
"great","great",377.380499641079
"transaction","transaction",377.380499641079
"saw","saw",377.380499641079
"string","string",377.214170453602
"tells","tells",377.214170453602
